-1.027	-1.149	-1.298	-1.081	-1.427	-1.391	-1.309	-1.057	-.627	-.424	-1.171	-1.25
-1.071	-1.199	-1.212	-.447	-.321	.376	.659	.822	.734	.731	.709	.466
.403	.12	.058	.236	-.315	-.684	-.306	-.233	.313	.274	-.359	-.129
.016	.375	.244	.707	.788	.198	.36	.206	.484	.078	.063	.311
-.054	-.022	.181	-.514	-1.452	-1.558	-1.377	-1.481	-1.165	-1.361	-1.139	-1.106
-.772	-.708	-1.15	-1.585	-1.646	-2.272	-2.007	-2.067	-1.831	-1.767	-1.852	-1.863
-1.439	-1.3	-1.402	-1.164	-1.312	-1.505	-1.265	-1.142	-1.371	-1.469	-1.058	-1.021
-.949	-.348	.163	.349	.881	.745	.902	1.128	1.148	1.077	1.122	1.231
1.472	1.453	1.325	1.038	.716	.878	.687	.415	.173	.202	.468	.707
.578	.807	.501	.236	.025	-.012	-.142	.108	.102	-.067	-.176	-.263
-.31	-.268	-.083	.011	-.345	-.263	-.349	-.257	-.466	-.363	-.341	-.432
-.152	-.27	-.093	.013	-.28	-.115	-.23	-.301	-.293	-.526	-.44	-.643
-1.091	-.985	-.712	-1.03	-.914	-.861	-.713	-.546	-.554	-.676	-.625	-.48
-.7	-.823	-.682	-.791	-.465	-.088	.39	.597	.749	.817	.843	.748
.855	.439	-.299	-.611	-1.25	-1.12	-1.414	-1.511	-1.311	-1.225	-1.242	-.913
-.526	-.324	-.254	.083	.51	.919	1.356	1.436	1.399	1.217	1.355	1.256
1.308	1.183	.687	.542	-.157	-.157	-.142	.147	-.091	-.035	.007	-.181
-.473	-.944	-1.073	-1.052	-.442	-.251	-.517	-.403	-.616	-.686	-.425	-.366
-.593	-.684	-.592	-.949	-1.093	-.794	-.535	-.1	.224	.426	.59	.359
.69	.867	.447	.628	.706	.816	.462	.182	.165	.508	.67	.383
.361	.41	.215	-.062	-.142	-.674	-1.086	-1.027	-1.258	-1.091	-1.078	-1.248
-1.224	-1.518	-1.812	-1.902	-1.432	-1.441	-1.217	-1.235	-1.465	-1.424	-1.33	-1.011
-.594	-.417	-.251	-.195	.5	1.106	1.826	1.827	1.547	1.651	1.747	1.745
1.704	1.473	.829	.467	-.141	-.803	-1.085	-1.356	-1.729	-1.671	-1.496	-1.87
